"","newc","id","Site","Jan.01","Feb.01","Mar.01","Apr.01","May.01","Jun.01","Jul.01","Aug.01","Sep.01","Oct.01","Nov.01","Dec.01","Jan.02","Feb.02","Mar.02","Apr.02","May.02","Jun.02","Jul.02","Aug.02","Sep.02","Oct.02","Nov.02","Dec.02"
"1","C2","A 1","AN-01M02    ",0.2453,1.465,2.315,3.022,3.453,3.591,3.615,3.528,3.197,2.925,2.835,2.893,2.622,2.305,1.63,1.83,4.179,2.484,2.322,2.495,1.966,4.573,4.258,2.419
"2","C3","A 2","AN-01M04    ",2.998,2.262,1.579,1.034,1.321,2.49,3.253,3.63,3.573,3.329,3.751,3.862,3.703,3.765,3.701,2.727,3.011,2.103,1.311,1.297,1.483,3.13,4.068,2.783
"3","C2","A 1","AN-01M05    ",0.2,1.467,2.357,3.055,3.414,3.559,3.595,3.403,3.23,3.088,2.876,2.84,0.1286,1.53,2.482,3.146,3.495,3.589,3.507,3.343,3.116,3,2.879,2.868
"4","C3","A 2","AN-01M07    ",2.234,1.56,1.312,1.3,2.193,3.019,3.748,4.172,3.632,3.409,3.372,3.133,3.535,2.922,3.001,2.335,3.258,1.188,1.708,4.578,3.214,3.741,1.786,1.817
"5","C2","A 1","AN-01M14    ",2.801,1.286,1.082,1.679,2.104,3.195,3.976,3.537,3.772,3.555,2.65,3.445,2.568,0.8553,1.245,2.354,3.665,3.505,3.692,3.743,2.984,3.107,1.821,3.543
"6","C3","A 2","AN-02M06    ",1.824,1.178,1.162,1.986,3.185,3.543,3,3.673,3.42,2.561,4.127,3.423,4.169,4.27,3.814,3.248,2.784,2.273,1.663,1.324,1.652,2.202,2.437,3.248
"7","C2","A 1","AN-02M07    ",1.03,1.547,2.012,2.541,2.255,2.461,3.091,3.452,3.021,3.154,3.888,4.631,0.9545,1.132,1.71,3.108,4.488,3.185,3.139,3.059,2.992,3.129,3.258,2.93
"8","C2","A 1","AN-02M10    ",0.1541,1.502,2.416,3.074,3.439,3.56,3.522,3.389,3.193,3.108,2.907,2.82,0.05539,1.556,2.536,3.183,3.54,3.363,3.311,3.152,2.896,3.379,3.058,3.053
"9","C3","A 2","AN-02M13    ",1.685,1.388,1.829,1.733,2.258,2.698,3.52,4.499,3.848,3.707,3.064,2.854,4.433,4.01,2.962,2.735,2.512,1.698,1.228,1.201,2.763,3.372,2.933,3.236
"10","C1","A 3","AN-02M15    ",5.399,3.974,2.999,2.342,2.014,1.919,1.997,2.237,2.419,2.508,2.631,2.643,0.4129,2.303,3.606,4.057,3.722,3.254,2.606,1.844,2.625,2.531,2.513,3.61
"11","C1","A 3","AN-02M18    ",5.421,3.96,3.071,2.399,2.029,1.963,2.028,2.263,2.485,2.5,2.519,2.446,5.374,3.955,2.992,2.341,2.006,1.91,1.939,2.168,2.508,2.836,2.627,2.429
"12","C5","A 4","AN-02M22    ",0.09615,1.585,2.605,3.2,3.52,3.592,3.494,3.303,3.169,2.944,2.78,2.796,5.341,3.884,2.669,2.097,1.887,1.858,1.956,2.149,2.807,2.686,2.868,2.882
"13","C3","A 2","AN-03M04    ",2.285,1.946,1.43,1.41,2.149,2.91,2.98,2.499,2.983,4.068,4.341,4.081,4.078,3.026,2.598,2.065,2.202,2.111,1.612,1.61,2.062,3.175,4.077,4.467
"14","C5","A 4","AN-03M17    ",0.1086,1.509,2.543,2.968,3.288,3.517,3.572,3.341,3.287,3.074,3.053,2.822,4.988,3.16,3.025,2.481,3.589,2.263,1.533,1.498,1.739,2.68,3.546,2.58
"15","C3","A 2","AN-04M02    ",2.097,1.565,1.658,1.54,1.961,2.815,3.728,4.182,4.281,3.341,2.736,3.179,3.593,2.975,2.888,2.785,3.1,2.299,1.865,1.199,2.024,5.216,2.695,2.444
"16","C3","A 2","AN-04M04    ",1.764,1.92,1.905,1.691,1.828,2.775,4.247,4.506,3.81,3.2,2.744,2.692,3.229,2.939,2.884,2.895,2.689,2.119,1.738,1.908,1.197,4.862,4.04,2.584
"17","C3","A 2","AN-04M06    ",2.326,2.006,1.863,1.67,1.814,2.78,4.049,4.37,4.214,3.348,2.679,1.964,3.766,2.614,3.052,3.015,2.11,1.166,1.605,2.038,2.065,3.625,4.572,3.455
"18","C3","A 2","AN-04M08    ",2.21,1.536,1.738,1.357,2.262,3.15,3.876,3.765,4.386,3.549,2.966,2.289,4.702,3.535,2.592,2.604,2.669,1.758,1.19,1.623,2.287,2.968,3.256,3.898
"19","C1","A 3","AN-04M13    ",5.485,3.928,2.936,2.3,1.998,1.977,2.241,2.418,2.451,2.482,2.473,2.394,0.3316,1.828,3.038,3.783,3.79,3.222,2.72,2.449,2.381,2.491,3.105,3.945
"20","C2","A 1","AN-04M17    ",0.1632,1.534,2.456,3.079,3.418,3.584,3.591,3.46,3.217,2.998,2.826,2.758,0.158,1.533,2.503,3.143,3.462,3.605,3.576,3.413,3.167,2.974,2.782,2.766
"21","C2","A 1","AN-04M19    ",2.175,1.953,2.042,1.672,1.723,3.077,4.367,4.423,3.846,3.092,2.649,2.062,1.687,1.159,2.345,3.643,3.64,2.462,3.133,4.284,3.555,3.122,2.792,1.261
"22","C3","A 2","AN-05M03    ",3.131,2.39,1.622,1.24,1.373,2.916,3.046,2.149,3.543,4.239,3.925,3.509,4.389,4.089,3.062,3.041,2.465,2,1.333,1.139,2.077,3.042,2.998,3.449
"23","C5","A 4","AN-06M03    ",1.678,1.531,2.633,2.86,3.044,4.078,4.109,3.5,2.993,3.63,1.825,1.203,3.858,4.165,3.942,2.703,2.432,1.929,1.19,1.844,2.624,1.677,2.909,3.811
"24","C3","A 2","AN-07M03    ",2.228,1.907,1.251,1.59,2.364,2.826,3.32,4.056,4.491,2.52,2.707,3.824,3.684,3.799,3.283,2.702,2.134,1.658,1.322,1.173,2.562,4.082,3.602,3.081
"25","C5","A 4","AN-07M09    ",0.464,1.514,2.146,2.819,3.218,3.596,4.166,3.543,3.21,3.05,2.67,2.688,5.213,4.023,3.106,2.45,1.981,1.77,1.794,1.979,2.562,2.773,2.734,2.696
"26","C2","A 1","AN-08M30    ",0.1098,1.574,2.535,3.178,3.488,3.609,3.492,3.329,3.182,2.983,2.802,2.801,0.7856,2.244,2.626,3.093,3.78,3.57,2.364,1.486,2.52,4.471,3.234,2.91
"27","C3","A 2","AN-09M06    ",3.337,2.352,1.457,1.042,1.761,2.79,2.57,2.559,3.267,4.07,3.836,4.043,3.689,3.768,3.116,2.734,2.571,2.246,1.233,0.8322,2.116,3.822,3.283,3.672
"28","C3","A 2","AN-10M01    ",2.562,1.887,1.703,1.175,1.417,2.953,3.931,4.002,3.814,3.453,3.124,3.063,4.518,4.158,3.027,3.009,2.395,2.078,1.659,1.188,1.816,2.749,2.942,3.542
"29","C3","A 2","AN-11M02    ",2.152,1.842,1.712,1.441,2.01,3.059,3.315,3.4,4.303,4.468,3.057,2.324,4.22,3.973,2.77,2.26,2.209,2.709,1.366,1.01,2.193,3.299,3.445,3.627
"30","C3","A 2","AN-11M03    ",1.168,1.383,1.637,1.846,2.703,3.756,3.137,3.523,3.986,3.779,3.123,3.043,4.218,3.389,3.097,2.946,2.996,2.393,1.113,0.8065,2.087,3.64,3.202,3.194
"31","C3","A 2","AN-11M04    ",1.578,1.84,1.79,1.547,1.913,3.522,3.344,4.17,4.226,3.452,2.664,3.038,4.303,4.016,3.406,2.562,1.856,2.491,1.404,1.163,2.099,3.142,3.098,3.542
"32","C3","A 2","AN-11M06    ",1.847,1.657,1.774,1.536,1.894,3.402,3.69,4.006,4.002,3.906,2.557,2.812,4.465,3.821,3.569,2.375,2.104,2.608,1.42,1.294,2.002,2.56,3.083,3.783
"33","C3","A 2","AN-11M09    ",2.245,2.206,1.465,1.47,1.869,2.735,3.783,3.534,4.29,4.262,2.673,2.551,4.144,3.973,3.47,2.77,2.234,2.19,1.422,1.329,1.902,2.383,3.268,3.999
"34","C3","A 2","AN-11M12    ",2.357,1.913,1.276,1.411,1.816,3.111,3.839,3.616,3.805,4.162,3.111,2.667,4.044,3.75,3.397,2.917,2.36,2.545,1.281,1.043,1.876,2.55,3.377,3.942
"35","C3","A 2","AN-11M14    ",2.37,2.027,1.514,1.015,1.664,3.207,3.406,3.801,3.203,4.048,3.639,3.189,4.28,3.81,3.65,2.928,2.318,2.248,1.458,1.428,1.644,2.224,3.367,3.729
"36","C2","A 1","AN-11M37    ",0.08515,1.586,2.591,3.237,3.523,3.567,3.489,3.301,3.068,2.983,2.839,2.813,0.05725,1.619,2.637,3.29,3.551,3.585,3.455,3.198,2.994,2.945,2.873,2.879
"37","C3","A 2","AN-12M03    ",2.45,1.969,1.446,1.607,1.469,2.845,3.581,4.119,3.218,4.391,2.84,3.147,3.985,3.566,3.561,2.712,2.903,2.208,1.275,1.005,1.778,2.791,3.495,3.804
"38","C3","A 2","AN-12M05    ",2.088,1.596,1.002,1.646,2.249,3.302,3.788,3.283,3.38,4.178,3.159,3.411,4.241,3.9,3.525,2.292,1.889,1.276,1.643,1.872,2.315,2.893,3.712,3.524
"39","C3","A 2","AN-12M08    ",2.306,2.162,1.235,0.9815,2.176,2.895,4.119,3.495,3.748,3.614,2.903,3.45,3.89,3.429,3.418,2.409,1.612,2.432,1.147,1.133,3.18,3.622,3.79,3.021
"40","C1","A 3","AN-12M12    ",3.133,4.441,3.519,2.681,2.424,1.945,1.826,1.283,1.692,2.439,3.833,3.868,2.585,3.842,3.968,3.801,3.792,3.44,2.693,1.985,1.316,1.292,1.852,2.517
"41","C1","A 3","AN-12M25    ",4.133,2.848,2.073,2.741,1.789,1.967,2.122,1.608,1.921,3.534,4.3,4.047,4.2,3.724,3.803,3.058,3.225,2.105,1.473,1.284,1.396,2.509,2.92,3.386
"42","C2","A 1","AN-13M24    ",0.09554,1.894,3.363,4.112,3.619,3.142,2.814,2.612,2.867,2.77,2.894,2.9,0,1.75,2.867,3.397,3.664,3.529,3.346,3.038,3.029,2.966,2.735,2.762
"43","C5","A 4","AN-14M01    ",0.136,1.522,2.457,3.113,3.463,3.597,3.538,3.34,3.122,3.003,2.893,2.898,5.37,3.992,3.051,2.396,2.032,1.92,1.97,2.153,2.385,2.512,2.647,2.654
"44","C5","A 4","AN-14M05    ",1.977,1.874,2.115,3.646,3.967,2.549,5.01,2.396,2.97,2.872,1.899,1.809,4.422,3.695,3.52,2.893,2.542,2.667,1.03,1.982,2.083,1.434,3.236,3.578
"45","C2","A 1","AN-14M07    ",0.9724,1.816,2.578,3.45,3.779,2.771,2.966,4.084,3.756,3.385,2.08,1.447,1.482,1.704,2.892,3.572,2.237,3.079,3.726,1.695,4.558,3.834,2.099,2.206
"46","C3","A 2","AN-14M12    ",2.314,1.438,2.102,3.531,3.008,1.963,2.266,3.661,1.575,4.718,2.732,3.776,4.3,3.662,3.181,2.935,2.373,1.544,2.267,0.9557,1.691,3.109,3.429,3.636
"47","C3","A 2","AN-15M05    ",1.417,1.708,2.006,1.623,2.344,4.777,3.327,2.971,2.587,3.543,3.696,3.084,3.501,3.006,2.651,2.4,1.999,0.1305,2.467,3.897,3.263,3.544,2.751,3.474
"48","C2","A 1","AN-16M03    ",1.396,2.651,2.785,2.653,2.038,1.233,4.301,4.025,4.108,3.135,2.238,2.519,1.17,1.116,2.447,3.098,2.915,2.954,3.618,3.38,4.281,3.788,2.531,1.785
"49","C1","A 3","AN-16M06    ",4.464,2.998,2.674,2.458,3.02,3.342,1.428,0.493,3.491,3.01,2.905,2.799,1.917,3.079,4.067,4.152,4.38,2.568,1.432,1.533,2.077,2.692,2.39,2.794
